#Genotype_assay_ID,GS_accession_name,Country,GS_id(separated from accession),SampleSet,Subpop
IRIS_313-9201,ARC 6044,India,IRGC 12190-1,3KG,admixed-jap
IRIS_313-9204,CHI SHENG TAO,China,IRGC 4606-1,3KG,ind1
IRIS_313-9208,KACIK TARAM,Indonesia,IRGC 35310-1,3KG,ind2
IRIS_313-9209,LEUANG LAI MAE PRAJAN,Thailand,IRGC 71279-1,3KG,admixed-ind
IRIS_313-9210,KUATEK,Malaysia,IRGC 14285-1,3KG,ind2
IRIS_313-9218,KALO CHAKOL,Bangladesh,IRGC 77258-1,3KG,ind3
IRIS_313-9227,WP 65,Thailand,IRGC 36526-1,3KG,ind2
IRIS_313-9228,HOKUSETSU,Japan,IRGC 65705-1,3KG,tej
IRIS_313-9233,CHUNG YI,China,IRGC 1427-1,3KG,tej
IRIS_313-9239,RIMBUN,Indonesia,IRGC 43741-1,3KG,trj
IRIS_313-9242,SUKARADJA,Indonesia,IRGC 18936-1,3KG,admixed-jap
IRIS_313-9243,MACAN BINUNDOK,Philippines,IRGC 8245-1,3KG,admixed-ind
IRIS_313-9249,KANU DAM,Cambodia,IRGC 29755-1,3KG,tej
IRIS_313-9251,JANDA LAOR,Indonesia,IRGC 48552-1,3KG,ind2
IRIS_313-9253,YONG JIN ZAO 3,China,IRGC 70441-1,3KG,ind1
IRIS_313-9256,GALWAKA HANDERAN,Sri Lanka,IRGC 31381-1,3KG,ind3
IRIS_313-9258,MAKRO,India,IRGC 74763-1,3KG,ind3
IRIS_313-9259,G 25,India,IRGC 45733-1,3KG,ind3
IRIS_313-9262,JHODI BIRUN,Bangladesh,IRGC 31812-1,3KG,ind3
IRIS_313-9267,CHIRGUA 1 I 22,Venezuela,IRGC 3408-1,3KG,trj
IRIS_313-9271,PURA BINNI,Bangladesh,IRGC 26772-1,3KG,ind3
IRIS_313-9273,RADEN SAWO 1,Indonesia,IRGC 57578-2,3KG,ind2
IRIS_313-9281,KHAO KAI,Thailand,IRGC 78251-1,3KG,admixed-ind
IRIS_313-9285,PALEPYU,Myanmar,IRGC 33549-1,3KG,ind3
IRIS_313-9286,LEUANG TAWNG SOOK,Thailand,IRGC 24394-1,3KG,ind2
IRIS_313-9287,SONAMUKHI,India,IRGC 46693-1,3KG,ind3
IRIS_313-9288,TONG MAH,Thailand,IRGC 65577-2,3KG,admixed-ind
IRIS_313-9294,AUS 78-62,Gambia,IRGC 69456-1,3KG,ind3
IRIS_313-9297,KORR,Liberia,IRGC 30751-1,3KG,trj
IRIS_313-9301,KETAN DONGGO,Indonesia,IRGC 54201-1,3KG,trj
IRIS_313-9302,GAM PAI 30-12-15,Thailand,IRGC 831-1,3KG,admixed-ind
IRIS_313-9310,PUTEH KACA,Indonesia,IRGC 66614-1,3KG,ind2
IRIS_313-9313,ARC 10799,India,IRGC 12631-1,3KG,admixed-ind
IRIS_313-9314,KAAKARAN,Indonesia,IRGC 27138-2,3KG,ind2
IRIS_313-9317,VEN THAP,Viet Nam,IRGC 56138-1,3KG,admixed-ind
IRIS_313-9320,SIPULUT HITAM PENDEK,Indonesia,IRGC 20154-1,3KG,ind2
IRIS_313-9324,CHIH SHEN LI,China,IRGC 1306-1,3KG,ind1
IRIS_313-9325,SADA RUPA,Bangladesh,IRGC 77299-1,3KG,ind2
IRIS_313-9329,KERITING TINGGI,Indonesia,IRGC 19972-1,3KG,ind2
IRIS_313-9342,LUA CHAN HUONG,Viet Nam,IRGC 16800-1,3KG,admixed-ind
IRIS_313-9347,ARC 13778,India,IRGC 41216-1,3KG,ind3
IRIS_313-9348,BK 26,India,IRGC 45197-1,3KG,ind3
IRIS_313-9351,PARA NELLU,India,IRGC 50009-1,3KG,ind3
IRIS_313-9357,HAM 48,Thailand,IRGC 29740-1,3KG,admixed-ind
IRIS_313-9360,BHASAMANIK,India,IRGC 46954-2,3KG,ind3
IRIS_313-9363,MAYBELLE,United States of America,IRGC 78629-1,3KG,trj
IRIS_313-9366,IMPROVED BLUE ROSE,United States of America,IRGC 5022-1,3KG,admixed-jap
IRIS_313-9372,WI BIR SHUN,China,IRGC 4602-1,3KG,ind1
IRIS_313-9375,PULUTAN,Malaysia,IRGC 71596-1,3KG,trj
IRIS_313-9379,HWANGJO,Korea, Republic of,IRGC 55547-1,3KG,tej
IRIS_313-9384,BARIK KUDI,India,IRGC 52807-1,3KG,ind3
IRIS_313-9388,VARY MALADY MENA,Madagascar,IRGC 51555-1,3KG,admixed-ind
IRIS_313-9389,KINANDANG BUSIKSIK,Philippines,IRGC 74607-1,3KG,trj
IRIS_313-9391,KALABAIL,Bangladesh,IRGC 25877-1,3KG,ind3
IRIS_313-9392,ARC 11626,India,IRGC 21528-1,3KG,admixed-jap
IRIS_313-9397,DUDHSWAR 15-141,Bangladesh,IRGC 37951-2,3KG,ind3
IRIS_313-9400,NCS 964 C,India,IRGC 62604-1,3KG,admixed
IRIS_313-9402,PA FADAYA,Sierra Leone,IRGC 58524-1,3KG,ind3
IRIS_313-9403,BADUIE,India,IRGC 53715-1,3KG,ind3
IRIS_313-9405,INGSA BELANAK,Indonesia,IRGC 43402-1,3KG,trj
IRIS_313-9406,LEUANG SAWED,Thailand,IRGC 78268-2,3KG,admixed-ind
IRIS_313-9409,GUMPANGAR,Malaysia,IRGC 71524-1,3KG,ind2
IRIS_313-9410,CI 9498,United States of America,IRGC 2134-1,3KG,tej
IRIS_313-9415,PAHK NOK GAEW,Thailand,IRGC 64572-2,3KG,admixed-ind
IRIS_313-9423,AGUYOD,Philippines,IRGC 67423-1,3KG,trj
IRIS_313-9424,ARC 5840,India,IRGC 12144-1,3KG,ind3
IRIS_313-9427,ARC 18092,India,IRGC 42256-1,3KG,ind3
IRIS_313-9429,RTS 16,Viet Nam,IRGC 8235-1,3KG,admixed-ind
IRIS_313-9433,GOKULGANJA,India,IRGC 45701-1,3KG,ind3
IRIS_313-9445,KOIYA DIGHA,Bangladesh,IRGC 63517-1,3KG,admixed
IRIS_313-9449,JAMBALI,Pakistan,IRGC 73101-1,3KG,aus
IRIS_313-9451,PAMAH S 18,Thailand,IRGC 61322-1,3KG,admixed-ind
IRIS_313-9452,B 505 A 1-28-7-1-2,United States of America,IRGC 6741-1,3KG,trj
IRIS_313-9461,KARANTABA 1,Senegal,IRGC 15924-1,3KG,admixed-ind
IRIS_313-9463,CI 1600,United States of America,IRGC 16305-1,3KG,tej
IRIS_313-9464,SML ACORNI,Surinam,IRGC 13389-1,3KG,admixed-jap
IRIS_313-9468,NONG KE,China,IRGC 59807-1,3KG,tej
IRIS_313-9469,TSAO SHENG LI 1,China,IRGC 1309-1,3KG,ind1
IRIS_313-9470,SAHULO FACHE SOYO,Indonesia,IRGC 66630-1,3KG,trj
IRIS_313-9472,H 6,Sri Lanka,IRGC 157-1,3KG,admixed-ind
IRIS_313-9482,E 2024,China,IRGC 67958-1,3KG,ind2
IRIS_313-9484,CHNNOR,India,IRGC 67485-1,3KG,ind3
IRIS_313-9491,BLUE BELLE,United States of America,IRGC 51125-1,3KG,trj
IRIS_313-9492,NCS 237,India,IRGC 62202-1,3KG,ind3
IRIS_313-9503,BINUHANGIN,Philippines,IRGC 67429-1,3KG,ind2
IRIS_313-9505,KORASISI,Philippines,IRGC 5285-1,3KG,ind1
IRIS_313-9506,TIMA,Bhutan,IRGC 67856-1,3KG,admixed
IRIS_313-9516,NCS 840,India,IRGC 62530-1,3KG,ind3
IRIS_313-9519,WANICA,Surinam,IRGC 3394-1,3KG,trj
IRIS_313-9522,RPW 9-4 (SS 1),India,IRGC 50690-1,3KG,ind2
IRIS_313-9523,RIKUTO KEMOCHI,Japan,IRGC 2719-1,3KG,tej
IRIS_313-9529,DAGPA BARA,Bhutan,IRGC 64887-1,3KG,admixed-jap
IRIS_313-9533,DUD KUNING,Indonesia,IRGC 44-1,3KG,ind3
IRIS_313-9539,TEXAS PATNA 49,United States of America,IRGC 6077-1,3KG,tej
IRIS_313-9547,LABRA,India,IRGC 74757-1,3KG,ind3
IRIS_313-9550,VEGOLD,United States of America,IRGC 7756-1,3KG,trj
IRIS_313-9551,BENGALY MORIMO,Madagascar,IRGC 10976-1,3KG,ind3
IRIS_313-9557,MULLIKURUVA,India,IRGC 77529-1,3KG,ind3
IRIS_313-9558,LIMBAYAN,Malaysia,IRGC 71556-1,3KG,trj
IRIS_313-9560,ARC 11857,India,IRGC 40972-1,3KG,admixed-ind
IRIS_313-9566,RP 9-4,India,IRGC 39735-1,3KG,admixed-ind
IRIS_313-9567,KHAO CHUAN CHOM 452,Thailand,IRGC 36571-1,3KG,ind2
IRIS_313-9568,PAMPANGON (H),Malaysia,IRGC 60392-1,3KG,trj
IRIS_313-9570,NX 3533,China,IRGC 63796-1,3KG,admixed-ind
IRIS_313-9572,ASU,Bhutan,IRGC 62154-1,3KG,admixed-ind
IRIS_313-9574,B 78-S81,Brunei Darussalam,IRGC 58415-1,3KG,ind2
IRIS_313-9575,MAE YEU,Thailand,IRGC 64509-1,3KG,ind2
IRIS_313-9582,SADOK,Malaysia,IRGC 13334-1,3KG,ind2
IRIS_313-9590,KETAN SERANG,Indonesia,IRGC 14615-1,3KG,ind2
IRIS_313-9593,ARC 15088,India,IRGC 41934-1,3KG,ind3
IRIS_313-9594,ASHI BINNI,Bangladesh,IRGC 77216-1,3KG,ind3
IRIS_313-9600,E LONG MAH,Thailand,IRGC 47946-1,3KG,admixed-jap
IRIS_313-9602,HTA 22,Thailand,IRGC 45827-1,3KG,ind2
IRIS_313-9604,RPA 5929 (K 45),India,IRGC 33963-1,3KG,admixed-ind
IRIS_313-9605,NCS 194,India,IRGC 51932-1,3KG,ind1
IRIS_313-9606,DA 11,Bangladesh,IRGC 6046-1,3KG,ind3
IRIS_313-9609,ARC 10594,India,IRGC 12524-1,3KG,admixed-ind
IRIS_313-9611,WANGA BARUGULU,India,IRGC 52261-1,3KG,ind3
IRIS_313-9616,INITLOG DALAG,Philippines,IRGC 67436-1,3KG,trj
IRIS_313-9617,HOLDI GIRA,Bangladesh,IRGC 31801-1,3KG,ind3
IRIS_313-9619,ARC 15845,India,IRGC 42151-2,3KG,ind3
IRIS_313-9623,PESAGRO 102,Brazil,IRGC 78703-1,3KG,ind2
IRIS_313-9634,ARC 15873,India,IRGC 43250-1,3KG,ind3
IRIS_313-9637,BONG BOI,Viet Nam,IRGC 32094-1,3KG,admixed-ind
IRIS_313-9641,BEGUM,India,IRGC 33990-1,3KG,aus
IRIS_313-9648,NEWREX,United States of America,IRGC 64657-1,3KG,admixed-jap
IRIS_313-9669,KAMPAI PEUN MEUANG,Thailand,IRGC 78248-1,3KG,admixed-ind
IRIS_313-9682,TK RED 35-799,Bangladesh,IRGC 38535-1,3KG,aro
IRIS_313-9685,AGEPDAUJSECAN,Union of Soviet Socialist Republics (Former),IRGC 49361-2,3KG,ind3
IRIS_313-9687,PA KABAKIE,Sierra Leone,IRGC 58541-2,3KG,admixed-ind
IRIS_313-9691,SIFARASI,Indonesia,IRGC 66644-1,3KG,trj
IRIS_313-9694,UNGGUL,Malaysia,IRGC 71644-1,3KG,ind2
IRIS_313-9695,SOLAY GHAT,Pakistan,IRGC 73121-1,3KG,admixed-ind
IRIS_313-9696,NAZIRA SAIL,Bangladesh,IRGC 77284-1,3KG,admixed-ind
IRIS_313-9697,BOW SU SO,Thailand,IRGC 78237-1,3KG,ind2
IRIS_313-9698,JO SANG DAE YA,Democratic People's Republic of Korea,IRGC 90852-1,3KG,tej
IRIS_313-9699,SERAUP 27,Malaysia,IRGC 1-1,3KG,ind2
IRIS_313-9701,TAICHUNG 65,Taiwan,IRGC 79-1,3KG,tej
IRIS_313-9702,TAICHUNG 179,Taiwan,IRGC 85-1,3KG,tej
IRIS_313-9703,CHIANAN 8,Taiwan,IRGC 90-1,3KG,tej
IRIS_313-9705,TAITUNG WOO LI,Taiwan,IRGC 111-1,3KG,ind1
IRIS_313-9706,TAIPEI WOO CO,Taiwan,IRGC 112-1,3KG,ind1
IRIS_313-9708,TSAI YUAN CHON,Taiwan,IRGC 126-1,3KG,ind1
IRIS_313-9709,MAKALIOKA,Madagascar,IRGC 376-1,3KG,ind3
IRIS_313-9723,AI ZI HUNG,China,IRGC 51255-1,3KG,ind1
IRIS_313-9725,DA DAO TOU,China,IRGC 59499-1,3KG,tej
IRIS_313-9727,NAN TE HAO,China,IRGC 59797-1,3KG,admixed-ind
IRIS_313-9730,BA SHI ZAO,China,IRGC 67903-1,3KG,ind1
IRIS_313-9732,MAMORIAKA,Madagascar,IRGC 68672-1,3KG,ind3
IRIS_313-9740,ROJOFOTSY,Madagascar,IRGC 69402-1,3KG,admixed-ind
IRIS_313-9742,LOHAMBITRO,Madagascar,IRGC 69857-1,3KG,trj
IRIS_313-9745,VARY MALADY,Madagascar,IRGC 69911-1,3KG,trj
IRIS_313-9758,I KUNG PAO,Taiwan,IRGC 114-1,3KG,ind1
IRIS_313-9759,OEIRAS,Portugal,IRGC 286-1,3KG,tej
IRIS_313-9767,CI 9445,United States of America,IRGC 2081-1,3KG,ind2
IRIS_313-9769,MURASAHITSUTSURI,Japan,IRGC 2493-1,3KG,tej
IRIS_313-9770,RAZZA 77,Italy,IRGC 3130-2,3KG,tej
IRIS_313-9771,BERGREIS,Austria,IRGC 3150-1,3KG,tej
IRIS_313-9774,EGYPTIAN,Turkey,IRGC 3217-1,3KG,admixed-jap
IRIS_313-9778,GENIT,Argentina,IRGC 3272-1,3KG,admixed-ind
IRIS_313-9782,BENLLOK,Peru,IRGC 3404-1,3KG,tej
IRIS_313-9789,RIKUTO TAUKI MOCHI 27,Japan,IRGC 5726-1,3KG,admixed-jap
IRIS_313-9790,JAPONES BALILLA,Uruguay,IRGC 5785-1,3KG,tej
IRIS_313-9791,LEAD,Malawi,IRGC 5805-1,3KG,admixed-ind
IRIS_313-9795,HD 10,Australia,IRGC 6638-1,3KG,ind3
IRIS_313-9800,KAHEI,Japan,IRGC 7691-1,3KG,admixed-jap
IRIS_313-9809,NALUMOOLAI KARUPAN,Sri Lanka,IRGC 8993-1,3KG,admixed-ind
IRIS_313-9811,KOPANCSI KEREK,Hungary,IRGC 9305-1,3KG,tej
IRIS_313-9813,SZANISZLO 2,Hungary,IRGC 9353-1,3KG,tej
IRIS_313-9818,C 1 6-5-2,Mexico,IRGC 10669-1,3KG,admixed
IRIS_313-9822,CRILLO LA FRIA,Venezuela,IRGC 10793-1,3KG,ind1
IRIS_313-9825,MOCHICA,Peru,IRGC 11070-1,3KG,ind3
IRIS_313-9831,PODIWEE,Sri Lanka,IRGC 11938-1,3KG,admixed-ind
IRIS_313-9832,RANGOON SAMBA,Sri Lanka,IRGC 11940-1,3KG,ind3
IRIS_313-9838,TEPUKE,New Zealand,IRGC 12872-1,3KG,tej
IRIS_313-9839,O. SATIVA,Spain,IRGC 12876-1,3KG,tej
IRIS_313-9841,SML AWINI,Surinam,IRGC 13391-1,3KG,admixed
IRIS_313-9851,GOGOWIERIE,Surinam,IRGC 14791-1,3KG,trj
IRIS_313-9861,KURKARUPPAN,Sri Lanka,IRGC 15449-2,3KG,aus
IRIS_313-9862,MODDAI KARUPPAN,Sri Lanka,IRGC 15465-1,3KG,ind3
IRIS_313-9867,SIGARDIS,Sri Lanka,IRGC 15555-1,3KG,ind2
IRIS_313-9882,O. SATIVA,Taiwan,IRGC 17083-1,3KG,admixed-ind
IRIS_313-9884,FUKUSHIMA MOCHI (GLUT),Japan,IRGC 19296-1,3KG,tej
IRIS_313-9886,HUK ZO,Korea, Republic of,IRGC 19760-1,3KG,tej
IRIS_313-9887,JEUK DO,Korea, Republic of,IRGC 19775-1,3KG,tej
IRIS_313-9890,WA BANG,Korea, Republic of,IRGC 19880-1,3KG,tej
IRIS_313-9891,YONG AN HUK,Korea, Republic of,IRGC 19891-1,3KG,tej
IRIS_313-9897,BIKYAT,Philippines,IRGC 26276-1,3KG,trj
IRIS_313-9898,QUERO ASSAN,Portugal,IRGC 28860-1,3KG,admixed-ind
IRIS_313-9917,CHANDINA,Sri Lanka,IRGC 36420-1,3KG,admixed-ind
IRIS_313-9922,IRI 339,Korea, Republic of,IRGC 46956-1,3KG,ind2
IRIS_313-9924,KN 1 B 361-1-8-6-9,Korea, Republic of,IRGC 46974-1,3KG,admixed-ind
IRIS_313-9925,MILYANG 30,Korea, Republic of,IRGC 46977-1,3KG,ind2
IRIS_313-9926,TOURBE,Chad,IRGC 47066-1,3KG,ind3
IRIS_313-9928,DEO KITAN,Philippines,IRGC 47197-1,3KG,trj
IRIS_313-9929,GOBYERNO,Philippines,IRGC 47216-1,3KG,trj
IRIS_313-9935,MEKENZIE SMALL,Guyana,IRGC 49895-1,3KG,ind3
IRIS_313-9936,SITHAIYAN KOTTAI SAMBA,Sri Lanka,IRGC 50155-1,3KG,ind3
IRIS_313-9937,ROCCA,Italy,IRGC 50351-1,3KG,tej
IRIS_313-9940,TIKAL 3,Guatemala,IRGC 50649-1,3KG,ind2
IRIS_313-9944,SOLOMON RED RICE,Solomon Islands,IRGC 50950-1,3KG,ind3
IRIS_313-9949,PANNITHI,Sri Lanka,IRGC 51049-1,3KG,trj
IRIS_313-9953,BAMOA A 75,Mexico,IRGC 51101-1,3KG,ind2
IRIS_313-9961,WIR 884,Norway,IRGC 51591-1,3KG,tej
IRIS_313-9963,WIR 1391,Sri Lanka,IRGC 51605-2,3KG,aus
IRIS_313-9964,WIR 1951,Georgia,IRGC 51643-1,3KG,tej
IRIS_313-9966,CICA 9,Colombia,IRGC 53079-1,3KG,ind2
IRIS_313-9968,KULA KARUPPAN,Sri Lanka,IRGC 55328-1,3KG,admixed-ind
IRIS_313-9969,PUTTU NELLU,Sri Lanka,IRGC 55346-1,3KG,ind3
IRIS_313-9970,RACE PERUMAL,Sri Lanka,IRGC 55347-1,3KG,ind3
IRIS_313-9974,HEUKSANJO,Korea, Republic of,IRGC 55536-1,3KG,tej
IRIS_313-9976,SSANGDUJO,Korea, Republic of,IRGC 55632-1,3KG,ind1
IRIS_313-9978,IRAT 118,Madagascar,IRGC 55785-2,3KG,aro
IRIS_313-9980,FORTUNA INIA,Argentina,IRGC 55865-1,3KG,admixed-jap
IRIS_313-9986,SOM DIGUIME,Guinea-Bissau,IRGC 56751-1,3KG,ind3
IRIS_313-9989,MELEKE,Cote d'Ivoire,IRGC 56823-1,3KG,ind3
IRIS_313-9995,NONGLIMNA 1,Korea, Republic of,IRGC 58347-1,3KG,admixed-jap
IRIS_313-9996,SUWEON 295,Korea, Republic of,IRGC 58368-1,3KG,tej
13582673.0,KHAO KAP SANG,Lao People's Democratic Republic,IRGC 23423-1,RDP2,trj
15653806.0,ARKROSE,United States of America,IRGC 1789-1,RDP2,admixed
17979475.0,CHERIVIRUPPU,India,IRGC 19928-C1,RDP2,ind3
18741236.0,HUANG JING NUO,China,IRGC 80953-1,RDP2,tej
19150230.0,ORYZICA SABANA 10,Colombia,IRGC 117018-1,RDP2,trj
21068151.0,KIRIMINY,Madagascar,IRGC 77849-2,RDP2,ind3
26835683.0,FOHISOMOTRA,Madagascar,GERVEX 8329-C1,RDP2,trj
26863647.0,ARC 15889,India,IRGC 43259-1,RDP2,aro
37226151.0,LATSIKA,Madagascar,IRGC 69367-1,RDP2,trj
41079769.0,TOKAMBANY 663,Madagascar,GERVEX 8358-C1,RDP2,ind3
54338509.0,DHAL KACHAI,Bangladesh,IRGC 66776-1,RDP2,aus
60121701.0,ZI GAN NAN GU,China,IRGC 70468-1,RDP2,ind1
64034269.0,CALMOCHI 202,United States of America,IRGC 57082-1,RDP2,tej
66391666.0,KALU A 30,Sri Lanka,IRGC 49746-1,RDP2,admixed-ind
70929367.0,PTB 1,India,IRGC 19304-1,RDP2,ind3
71271947.0,TORO 2,United States of America,IRGC 66761-1,RDP2,admixed-jap
73302985.0,KOMOJAMANITRA,Madagascar,GERVEX 8453-C1,RDP2,trj
79010787.0,SWARNA,India,IRGC 117278-C1,RDP2,admixed-ind
83958354.0,PULUT TODOPI,Indonesia,IRGC 27435-1,RDP2,trj
89688646.0,ANBARBOO,Iran,IRGC 32280-1,RDP2,admixed
95177719.0,CINIA 40,Chile,GERVEX 1486-C1,RDP2,tej
98042619.0,NARGUNI,India,IRGC 74713-1,RDP2,ind3
00794e86.0,IR 65907-116-1-B,Philippines,C1,RDP2,trj
00a48c38.0,DA 8,Bangladesh,NA,RDP2,aus
00d9174a.0,63-83,Cote d'Ivoire,IRGC 14725-1,RDP2,trj
00df5fd9.0,CT 6946-9-1-2-M-1P,Colombia,IRGC 117329-1,RDP2,admixed
012f5783.0,TSIPALA 89,Madagascar,GERVEX 8385-C1,RDP2,trj
012f96c4.0,MANGAVAVA FOTSILANSTSIKA 1177,Madagascar,GERVEX 5719-C1,RDP2,trj
013ef6b2.0,NIONOKA,Mali,C1,RDP2,ind2
01a58510.0,NAM,Bhutan,IRGC 64914-1,RDP2,admixed-jap
01e7f933.0,INDANE,Myanmar,NA,RDP2,admixed-jap
0222c8da.0,WU BAI LI,China,IRGC 70404-1,RDP2,admixed-ind
02275e26.0,IRAT 366,Nicaragua,GERVEX 8716-C1,RDP2,trj
028ac805.0,PIN KAEO,Thailand,NA,RDP2,trj
02e7f0f8.0,FANNY,France,IRGC 399-1,RDP2,tej
04160e1f.0,JAO,Thailand,IRGC 15046-1,RDP2,admixed-jap
04704bb4.0,BOTESHAWAR,Bangladesh,IRGC 34682-1,RDP2,aus
04735a65.0,NEP TEP RUONG,Viet Nam,IRGC 32241-1,RDP2,admixed-ind
0497a90e.0,LADY WRIGHT SELN (CI 12187),United States of America,IRGC 1761-1,RDP2,admixed-jap
0499f6f2.0,Khie tom,Lao People's Democratic Republic,IRGC 11887-1,RDP2,ind3
04a06fb8.0,IR 2006-P12-12-2,Philippines,IRGC 32675-C1,RDP2,ind2
04a9a633.0,TELIMANI,Mali,C1,RDP2,admixed-ind
04aca4b5.0,KELEE,Bangladesh,IRGC 66807-1,RDP2,aus
0555b0dd.0,CALORO,United States of America,IRGC 32564-1,RDP2,tej
05b4c5f5.0,IAC 164,Brazil,IRGC 117251-1,RDP2,trj
05bef934.0,DAKPA,Bhutan,IRGC 64888-1,RDP2,admixed-jap
071cf19e.0,NOUAKPO,Cote d'Ivoire,IRGC 56704-1,RDP2,trj
072145c9.0,LAI,Thailand,IRGC 15023-1,RDP2,admixed-jap
0745f14c.0,RTS 4,Viet Nam,NA,RDP2,admixed-ind
0766f190.0,L 204,United States of America,GERVEX 1658-C1,RDP2,admixed-jap
07990ed9.0,DJOWAN,Indonesia,IRGC 17541-1,RDP2,trj
07fd6392.0,PADI BANCUH,Indonesia,IRGC 18353-1,RDP2,trj
080cb61d.0,IRAT 109,Cote d'Ivoire,GERVEX 4988-C1,RDP2,trj
08beaab3.0,SOURE,Portugal,GERVEX 1294-C1,RDP2,tej
08e0302b.0,CARREON,Philippines,IRGC 32575-C1,RDP2,admixed-ind
09091c06.0,DOURADO PRECOCE,Brazil,GERVEX 336-C1,RDP2,trj
0925e44d.0,BODOMANO,Madagascar,GERVEX 8343-C1,RDP2,admixed-ind
094ba8c6.0,KENDINGA 5 H,Malaysia,IRGC 60310-C1,RDP2,trj
0952e121.0,PADI RAOEKANG,Indonesia,NA,RDP2,ind2
0a12f8f9.0,BARANKALAMKATI,India,IRGC 45087-1,RDP2,aro
0a5fbba4.0,ARC 15340,India,IRGC 42019-1,RDP2,aus
0ab47bcf.0,VELA,Italy,IRGC 82437-1,RDP2,admixed-jap
0ac8b40d.0,SANTHI SUFAID 207,Pakistan,IRGC 28212-1,RDP2,aus
0af4494d.0,VARY SOMOTRA SIHANAKA,Madagascar,GERVEX 8321-C1,RDP2,trj
0b170025.0,PATLE,Nepal,IRGC 27635-1,RDP2,admixed
0b663120.0,BADO,Malaysia,IRGC 71499-1,RDP2,trj
0b7d031b.0,SADRI,Iran,IRGC 33949-1,RDP2,aro
0ba66977.0,CR 8334,Costa Rica,IRGC 116972-1,RDP2,ind2
0bcf4fb2.0,TUO TUO HUANG,China,IRGC 72851-1,RDP2,ind1
0bf97c86.0,BENGALY 389,Madagascar,GERVEX 4743-C1,RDP2,ind3
0c1b0a01.0,IR 31917-45-3-2,Philippines,IRGC 78132-1,RDP2,admixed-ind
0c31dba2.0,BRE JER,Thailand,IRGC 78238-1,RDP2,ind2
0c5f565a.0,SEBOTA 65,Brazil,C1,RDP2,ind2
0cf4ae7f.0,YU WEOL ZO,Korea, Republic of,IRGC 19894-1,RDP2,tej
0e503408.0,TZJAO BU ZSCHI,Hungary,IRGC 9287-1,RDP2,tej
0e85ef93.0,IR 65907-206-4-B,Philippines,C1,RDP2,trj
0fee898f.0,ESPERANZA,Bolivia,C1,RDP2,trj
10ccd7df.0,PEH PI NUO,China,IRGC 8266-C1,RDP2,admixed-jap
10ecf993.0,DRAGO,Italy,IRGC 81597-1,RDP2,admixed-jap
1144d378.0,BENGIZA,Madagascar,IRGC 69845-1,RDP2,trj
115e701d.0,N 56,China,IRGC 36174-1,RDP2,tej
11b25cca.0,DA 29 (SR 26 B),Bangladesh,IRGC 25850-1,RDP2,ind3
11de926a.0,TOKAMBANY 669,Madagascar,GERVEX 8406-C1,RDP2,admixed-ind
121d1c4c.0,ORYZICA SABANA 6,Colombia,C1,RDP2,trj
130a948e.0,NP 125,India,IRGC 32559-1,RDP2,aus
13199c21.0,RATHKANDIRAM,Sri Lanka,IRGC 36507-1,RDP2,admixed-ind
13bb23ba.0,CALADY 40,United States of America,IRGC 1934-1,RDP2,tej
13bb91c9.0,UBA MURALI,Bangladesh,IRGC 25928-1,RDP2,admixed-ind
13c6ec1f.0,GHARIBE,Iran,IRGC 32309-1,RDP2,admixed
140121b2.0,ARC 15872,India,IRGC 43249-C1,RDP2,ind3
148de2ee.0,SAMBEGEURY,Senegal,IRGC 4935-1,RDP2,ind2
149bf2cd.0,VARIETY N,Guyana,IRGC 66329-1,RDP2,admixed-ind
14d89242.0,YAKUMO,Japan,IRGC 5320-1,RDP2,tej
1580b445.0,RANGPURI AUS,Bangladesh,IRGC 66822-1,RDP2,aus
15b45ca0.0,MUSAIK ZO ZIOK ZO,Korea, Republic of,IRGC 2357-1,RDP2,tej
1643f29f.0,MANANELATRA,Madagascar,IRGC 69861-1,RDP2,trj
166fad80.0,SOLOI,Bangladesh,IRGC 37598-1,RDP2,aus
16d8852d.0,IBO 380/33,Portugal,GERVEX 942-C1,RDP2,admixed-jap
16ef3c90.0,ARC 14696,India,IRGC 41696-1,RDP2,aro
178d96de.0,NORIN 23,Japan,IRGC 425-1,RDP2,tej
17ffde63.0,KULING,Malaysia,IRGC 71543-2,RDP2,trj
181bf46e.0,PCT 11\0\0\2,BO 1>55-1-3-1,Colombia,C1,RDP2,trj
18484bd4.0,ASE BULO,Indonesia,IRGC 26998-1,RDP2,trj
1865f890.0,KHADASIYA 3 (STRAW),India,IRGC 54072-1,RDP2,aus
189977a6.0,NS 1288,Madagascar,IRGC 68930-1,RDP2,admixed
18beb528.0,TSIPALA MENA,Madagascar,IRGC 69977-1,RDP2,ind3
1938daea.0,SAVIO,Italy,GERVEX 635-C1,RDP2,admixed-jap
19a62cda.0,GOPAL,Nepal,IRGC 61953-1,RDP2,ind3
1a01d51e.0,VARY MANANELATRA,Madagascar,GERVEX 8447-C1,RDP2,trj
1a210383.0,CHENGRI 2,Bangladesh,IRGC 77228-1,RDP2,aus
1a2b694e.0,PICONEGRO,Ecuador,IRGC 117022-1,RDP2,ind1
1abb6b2c.0,POPOT,Indonesia,IRGC 43545-C1,RDP2,ind2
1ae6a2eb.0,S 624,India,IRGC 8896-C1,RDP2,ind3
1b0049fa.0,KURUWEE,Sri Lanka,IRGC 15214-1,RDP2,admixed-ind
1ba4a715.0,BROWN GORA,India,IRGC 45234-1,RDP2,aus
