#Genotype_assay_ID,GS_accession_name,Country,GS_id(separated from accession),SampleSet,Subpop
de22ff14.0,JUMALI,Nepal,IRGC 9542-C1,RDP2,aro
de55def7.0,IMPROVED BLUEBONNET,United States of America,IRGC 6224-1,RDP2,trj
de6a5a81.0,KALILA MENA,Madagascar,GERVEX 8367-C1,RDP2,ind3
de954805.0,GIZA 171,Egypt,IRGC 50750-1,RDP2,tej
deaa5daa.0,DEHULA,India,IRGC 74737-1,RDP2,aus
dec26745.0,ASSE Y-PUNG,Philippines,IRGC 3764-1,RDP2,trj
df3c89f8.0,JUMA,Bangladesh,IRGC 66800-1,RDP2,aus
df7be360.0,CR 5272,Costa Rica,IRGC 116971-1,RDP2,admixed-ind
df968fc8.0,LAL AMAN,India,NA,RDP2,ind3
dfdf7191.0,MADINIKA,Madagascar,IRGC 69369-1,RDP2,admixed-ind
e047a0cf.0,NAM SA GUI 19,Thailand,IRTP 6892-C1,RDP2,admixed-ind
e04809e7.0,JC 120,India,IRGC 9178-1,RDP2,ind3
e04883b4.0,TSIAMPOETRY,Madagascar,IRGC 77902-1,RDP2,ind3
e048f5ff.0,KITRANA 1890,Madagascar,GERVEX 5115-C1,RDP2,ind3
e05dbbf3.0,GIE 57,Viet Nam,NA,RDP2,admixed-ind
e0659230.0,BRAZOS,United States of America,IRGC 24273-1,RDP2,admixed-jap
e069425a.0,HARBHOONDI,India,IRGC 74744-1,RDP2,aus
e06cb6c5.0,PULU LAPA,Indonesia,IRGC 48857-C1,RDP2,trj
e0f095ac.0,SOMIZY,Madagascar,GERVEX 8419-C1,RDP2,ind3
e15170c7.0,SABA,Philippines,IRGC 8146-2,RDP2,trj
e17982cd.0,LAGEADO,Brazil,NA,RDP2,ind2
e1838272.0,RTS 5,Viet Nam,IRGC 8233-1,RDP2,admixed-ind
e1a2638e.0,MOLOK,Indonesia,IRGC 43485-C1,RDP2,trj
e1d1c3b0.0,FOSSA HV,Burkina Faso,IRGC 16069-1,RDP2,admixed-jap
e1d9a122.0,MAI HSI TSAN,China,IRGC 51366-1,RDP2,ind1
e22c7949.0,GRAZI,Cote d'Ivoire,IRGC 50836-C1,RDP2,trj
e24c23cc.0,NATO,United States of America,IRGC 1819-1,RDP2,trj
e2606999.0,KUROKA,Japan,IRGC 74556-C1,RDP2,admixed-jap
e279558c.0,PELITA JANGGUT,Indonesia,IRGC 43540-1,RDP2,ind2
e2799ba2.0,CR 762022,United States of America,IRGC 53378-1,RDP2,admixed-ind
e2a05b13.0,KANNI MURUNGA,Sri Lanka,IRGC 15432-1,RDP2,ind3
e2ad1f9f.0,IR 72,Philippines,C1,RDP2,ind2
e30161a0.0,DINOLORES,Philippines,IRGC 67431-1,RDP2,trj
e335d59d.0,BR IRGA 409,Brazil,IRGC 116960-1,RDP2,ind2
e349f491.0,SAYLLEBON,Liberia,IRGC 32509-1,RDP2,trj
e3fc5497.0,PALAWAN,Philippines,C1,RDP2,trj
e41fa5d2.0,MALINIS,Philippines,IRGC 44600-1,RDP2,ind2
e42b8512.0,MASURAN,Sri Lanka,IRGC 11997-1,RDP2,tej
e42dd51d.0,DEVAREDDIRI,Sri Lanka,IRGC 40788-1,RDP2,ind3
e4778aa3.0,LOHAMBITRO 3670,Madagascar,GERVEX 8238-C1,RDP2,admixed-ind
e4833157.0,RANAU KADAI,Malaysia,IRGC 71604-1,RDP2,trj
e4ddf191.0,FANDRAPOTSY,Madagascar,NA,RDP2,ind3
e5370b7e.0,RAYADA,Bangladesh,NA,RDP2,aus
e56c4dc8.0,SHSS 381,Spain,GERVEX 549-C1,RDP2,tej
e578ea0c.0,KAUKYAGYI,Myanmar,IRGC 33208-1,RDP2,admixed-ind
e5b216b3.0,WC 4419,Honduras,IRGC 10739-1,RDP2,trj
e5c93e20.0,MALACHAN,India,IRGC 54748-1,RDP2,admixed-ind
e6b40416.0,JC 148,India,IRGC 9069-2,RDP2,aus
e6d9931e.0,NS 113,Madagascar,IRGC 68838-1,RDP2,admixed-ind
e702289a.0,ERH CHIANG TSAO 8,China,IRGC 65510-1,RDP2,ind1
e7072003.0,91-385,Bhutan,IRGC 63466-C1,RDP2,tej
e709ab81.0,MTU 9,India,NA,RDP2,ind3
e7398f01.0,IAC 165,Brazil,GERVEX 8508-C1,RDP2,trj
e76ce267.0,IR 43,Philippines,IRGC 117005-1,RDP2,ind2
e78d371e.0,CHIKON SHONI,Bangladesh,IRGC 64771-1,RDP2,aus
e7f60923.0,HEUINDADAK,Korea, Republic of,IRGC 55526-1,RDP2,tej
e873af9d.0,UPL RI 5,Philippines,IRTP 7034-C1,RDP2,ind2
e9a738b5.0,TUNG CH'IU AI,China,IRGC 34265-1,RDP2,aus
ea294193.0,SWARNA,India,NA,RDP2,ind2
ea2ae002.0,DAYAKON,Malaysia,IRGC 71515-1,RDP2,admixed-jap
ea93ea6b.0,IDSA 77,Cote d'Ivoire,C1,RDP2,trj
eaa3a28a.0,AUS 71,Bangladesh,IRGC 28934-1,RDP2,aus
eac6eccb.0,GOGO LEMPAK,Indonesia,IRGC 43392-C1,RDP2,trj
eb20d6a5.0,MANDRIRAVINA 3512,Madagascar,GERVEX 8319-C1,RDP2,trj
ec2ea6d9.0,OLCENENGO,Italy,GERVEX 41-C1,RDP2,tej
ec39e321.0,MARAYA,Indonesia,IRGC 48757-1,RDP2,trj
ed44d54e.0,ZI LENG 8-3,China,IRGC 70471-1,RDP2,ind1
edb1d7eb.0,MO WAE DO,Korea, Republic of,IRGC 2356-1,RDP2,tej
edc86429.0,IRAT 257,Brazil,C1,RDP2,trj
ee58d650.0,GAMBIAKA KOKOUM,Mali,C1,RDP2,ind3
eec8e16c.0,SIJAMBI SAPUSI,Indonesia,IRGC 66650-1,RDP2,ind2
ef1ef67d.0,CIRAD 409,Colombia,IRGC 116969-1,RDP2,trj
ef6e94e2.0,MANANELATRA 520,Madagascar,GERVEX 8445-C1,RDP2,trj
f0a73e07.0,FEDEARROZ 2000,Colombia,C1,RDP2,ind2
f0d3206f.0,CHIADI NAKI,India,IRGC 52101-1,RDP2,aus
f0fecafd.0,BANS 4,India,IRGC 74728-1,RDP2,aus
f105793e.0,MIMIDIM,Bangladesh,IRGC 25898-1,RDP2,admixed-jap
f168ab38.0,HAIFUGOYA,Taiwan,NA,RDP2,tej
f200c53c.0,NOVA 66,United States of America,IRGC 53087-1,RDP2,admixed-jap
f2091f9a.0,29 A 2,Pakistan,IRGC 28364-1,RDP2,aus
f276895c.0,PITIPO,Peru,IRGC 117023-1,RDP2,admixed-ind
f292fe0a.0,NHTA 10,India,IRGC 191-C1,RDP2,admixed-jap
f293665e.0,DJOGOLON DJOGOLON,Burkina Faso,IRGC 75577-1,RDP2,admixed-ind
f3b98222.0,KINYO,Philippines,IRGC 47248-1,RDP2,trj
f3db79bb.0,MTU 9,India,NA,RDP2,ind3
f4121f4a.0,ARC 11495,India,IRGC 21431-1,RDP2,admixed-jap
f437902b.0,IAC 47,Brazil,IRGC 116992-1,RDP2,trj
f4563383.0,REXORO,United States of America,NA,RDP2,trj
f4a6a2df.0,GUAYQUIRARO P A,Argentina,IRGC 116987-1,RDP2,admixed-jap
f5084c92.0,ONDA,France,IRGC 77486-1,RDP2,admixed-jap
f5182187.0,PADI ORO,Indonesia,IRGC 18387-1,RDP2,ind2
f5f3d6ea.0,MIN CHE NIEN HSU THOU,China,IRGC 4471-1,RDP2,admixed-ind
f6801eb5.0,TAINUNG 49,Taiwan,IRGC 65317-1,RDP2,tej
f6ae871c.0,WAB 706-3-4-K4-KB-1,Cote d'Ivoire,C1,RDP2,trj
f6c35d4d.0,ITA 235,Cote d'Ivoire,IRGC 64854-1,RDP2,trj
f6f7a2af.0,AZMIL 85,Philippines,IRGC 289-1,RDP2,trj
f75b18e9.0,SEULENDE,Indonesia,IRGC 66635-1,RDP2,ind2
f790c97d.0,XI NUO ZAO,China,IRGC 68279-1,RDP2,ind1
f7e1ce6e.0,ARC 10411,India,IRGC 12454-1,RDP2,ind3
f8185856.0,SZARVASI 70,Hungary,IRGC 50924-1,RDP2,tej
f83df5f5.0,BAMOIA 341,Bangladesh,IRGC 6538-C1,RDP2,aus
f891c0de.0,YANCAOUSSA,Cote d'Ivoire,IRGC 16071-C1,RDP2,trj
f8c60a5c.0,WARABEHATOMOCHI,Japan,IRGC 14779-1,RDP2,admixed-jap
f8d6334a.0,D 1-177,Liberia,IRGC 30921-1,RDP2,trj
f8dfc8a5.0,17/79/02-005,Sri Lanka,IRGC 51080-1,RDP2,ind3
f8fbb82d.0,SOKANA,India,IRGC 52763-1,RDP2,aus
f9bd9539.0,VICTORIA,Argentina,IRGC 3266-1,RDP2,tej
f9c63410.0,MAT MERAH,Indonesia,IRGC 18222-1,RDP2,trj
f9c6549d.0,DIMITRA,Greece,GERVEX 1679-C1,RDP2,tej
f9fb837b.0,IR 32453-20-3-2-2,Philippines,IRGC 76331-1,RDP2,ind2
